route,pageType,proposedSource,cmsSlug,inContentPagesImport,reasonIfStatic
/service-page/ceramika-dla-dorosłych-pon-czw,service-page,"content_pages.slug=service-page-ceramika-dla-doroslych-pon-czw clone-page-v1",service-page-ceramika-dla-doroslych-pon-czw,true,""
/service-page/glina-do-wina-piątek-19-00-suchy-las,service-page,"content_pages.slug=service-page-glina-do-wina-piatek-19-00-suchy-las clone-page-v1",service-page-glina-do-wina-piatek-19-00-suchy-las,true,""
/service-page/glina-do-wina-w-poznaniu-w-ptasim-radiu,service-page,"content_pages.slug=service-page-glina-do-wina-w-poznaniu-w-ptasim-radiu clone-page-v1",service-page-glina-do-wina-w-poznaniu-w-ptasim-radiu,true,""
/service-page/glina-i-rodzina-soboty-15-00,service-page,"content_pages.slug=service-page-glina-i-rodzina-soboty-15-00 clone-page-v1",service-page-glina-i-rodzina-soboty-15-00,true,""
/service-page/iv-turnus-półkolonie-artystyczne,service-page,"content_pages.slug=service-page-iv-turnus-polkolonie-artystyczne clone-page-v1",service-page-iv-turnus-polkolonie-artystyczne,true,""
/service-page/letnia-akademia-rysunku-malarstwa,service-page,"content_pages.slug=service-page-letnia-akademia-rysunku-malarstwa clone-page-v1",service-page-letnia-akademia-rysunku-malarstwa,true,""
/service-page/piknik-rodzinny-z-ceramiką-12-września,service-page,"content_pages.slug=service-page-piknik-rodzinny-z-ceramika-12-wrzesnia clone-page-v1",service-page-piknik-rodzinny-z-ceramika-12-wrzesnia,true,""
/service-page/piknik-rodzinny-z-ceramiką-29-sierpnia,service-page,"content_pages.slug=service-page-piknik-rodzinny-z-ceramika-29-sierpnia clone-page-v1",service-page-piknik-rodzinny-z-ceramika-29-sierpnia,true,""
/service-page/poranki-z-ceramiką-dla-dorosłych,service-page,"content_pages.slug=service-page-poranki-z-ceramika-dla-doroslych clone-page-v1",service-page-poranki-z-ceramika-dla-doroslych,true,""
/service-page/wrzesieńceramika-dla-dorosłych-pon,service-page,"content_pages.slug=service-page-wrzesienceramika-dla-doroslych-pon clone-page-v1",service-page-wrzesienceramika-dla-doroslych-pon,true,""
/service-page/wrzesieńglina-do-wina-piątek-suchy-las,service-page,"content_pages.slug=service-page-wrzesienglina-do-wina-piatek-suchy-las clone-page-v1",service-page-wrzesienglina-do-wina-piatek-suchy-las,true,""
/services,services-index,"content_pages.slug=services clone-page-v1",services,true,""
/services/glina-do-wina,service-alias,"content_pages.slug=services-glina-do-wina clone-page-v1",services-glina-do-wina,true,""
/sklep,shop,"content_pages.slug=sklep clone-page-v1",sklep,true,""
/szczeg-y-wydarzenia-i-rejestracja/piknik-rodzinny-warsztaty-wstep-wolny,event,"content_pages.slug=szczeg-y-wydarzenia-i-rejestracja-piknik-rodzinny-warsztaty-wstep-wolny clone-page-v1",szczeg-y-wydarzenia-i-rejestracja-piknik-rodzinny-warsztaty-wstep-wolny,true,""
/terms-conditions,legal,"content_pages.slug=terms-conditions clone-page-v1",terms-conditions,true,""
/urodziny,workshop-landing,"content_pages.slug=urodziny clone-page-v1",urodziny,true,""
/vouchery,shop,"content_pages.slug=vouchery clone-page-v1",vouchery,true,""
/webinar-registration,webinar,"content_pages.slug=webinar-registration clone-page-v1",webinar-registration,true,""
/webinar-registration-1,webinar,"content_pages.slug=webinar-registration-1 clone-page-v1",webinar-registration-1,true,""
/webinar-registration-2,webinar,"content_pages.slug=webinar-registration-2 clone-page-v1",webinar-registration-2,true,""
/webinar-registration-3,webinar,"content_pages.slug=webinar-registration-3 clone-page-v1",webinar-registration-3,true,""
/webinar-registration-4,webinar,"content_pages.slug=webinar-registration-4 clone-page-v1",webinar-registration-4,true,""
/pracownia,live-remap-marketing,"content_pages.slug=pracownia",pracownia,true,""
/dla-dzieci,live-remap-marketing,"content_pages.slug=dla-dzieci",dla-dzieci,true,""
/dla-doroslych,live-remap-marketing,"content_pages.slug=dla-doroslych",dla-doroslych,true,""
/grupy-i-firmy,live-remap-marketing,"content_pages.slug=grupy-i-firmy",grupy-i-firmy,true,""
/kalendarz,operational-calendar,"workshop_sessions (not content_pages)",,false,""
